model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
qwen36-35b,development-extraction,ok,2452,196,0,2.275525332999999,6.286742540999999,6.311286499999998,137,131,131,2,0,48.35063583565643,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,development-summary,ok,2388,349,0,1.8478815419999997,8.849169832999998,8.871237041999997,234,212,201,11,0,49.55050713093024,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H1-extraction,ok,3595,292,0,2.8818340829999975,8.926674166999998,8.951010125,194,186,182,4,0,47.9706281283938,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H1-summary,ok,3489,364,0,2.792665416999995,10.337642584000001,10.359807959000001,245,217,203,14,0,47.97155009557968,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H2-extraction,ok,3733,293,0,2.976782125000007,8.987248458000003,9.009918083000002,179,171,167,4,0,48.40340859455565,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H2-summary,ok,3630,381,0,2.920203416999996,10.858074000000002,10.881136709000003,252,222,207,15,0,47.73464561736285,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H3-extraction,ok,3379,188,0,2.757472750000005,6.534334541999996,6.555817625000003,116,108,104,4,0,49.23846266460655,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H3-summary,ok,3275,373,0,2.5875453329999942,10.270310957999996,10.292776666999998,249,229,219,10,0,48.28092019799849,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H4-extraction,ok,4181,250,0,3.408008499999994,8.546960208000002,8.569021041,165,157,153,4,0,48.252213739866306,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H4-summary,ok,4086,387,0,3.2837787090000035,11.425470083999997,11.448530667,266,248,239,9,0,47.27915215986722,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,full-source-control,ok,13916,780,0,14.668311541999998,32.744790459,32.770483583999976,508,508,474,0,17,43.03587551240452,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,merged-summary-synthesis,ok,1709,1503,0,1.452481249999991,33.38774733300001,33.409061875000006,1012,916,868,48,0,47.000777734573774,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
